ID,center_lat,center_lon,sat_item,date,local_cloud_cover,water_pixels,original_dates_list
360,26.64266092,-82.21916444,S2B_MSIL2A_20191110T160459_R097_T17RLK_20201003T151338,2019-11-10,0.4,62160,['2018-08-07']
360,26.64266092,-82.21916444,S2C_MSIL2A_20260221T160301_R097_T17RLK_20260221T192217,2026-02-21,0.63,62856,['2018-08-07']
360,26.64266092,-82.21916444,S2C_MSIL2A_20251113T160531_R097_T17RLK_20251113T194111,2025-11-13,0.66,62756,['2018-08-07']
361,26.64287913,-82.19344844,S2A_MSIL2A_20180305T160131_R097_T17RLK_20201013T065315,2018-03-05,0.0,59200,"['2018-08-07', '2023-02-07']"
361,26.64287913,-82.19344844,S2B_MSIL2A_20200707T155819_R097_T17RLK_20200912T094138,2020-07-07,0.0,59004,"['2018-08-07', '2023-02-07']"
361,26.64287913,-82.19344844,S2A_MSIL2A_20190728T155911_R097_T17RLK_20201106T040318,2019-07-28,0.0,59156,"['2018-08-07', '2023-02-07']"
361,26.64287913,-82.19344844,S2B_MSIL2A_20171120T160539_R097_T17RLK_20201014T211532,2017-11-20,0.0,58992,"['2018-08-07', '2023-02-07']"
361,26.64287913,-82.19344844,S2A_MSIL2A_20160214T160352_R097_T17RLK_20210528T063443,2016-02-14,0.0,58636,"['2018-08-07', '2023-02-07']"
362,26.66598843,-82.19368883,S2A_MSIL2A_20161110T160502_R097_T17RLK_20210414T034146,2016-11-10,0.0,60280,"['2018-08-07', '2020-10-15', '2023-02-07']"
362,26.66598843,-82.19368883,S2A_MSIL2A_20220831T155831_R097_T17RLK_20220901T183018,2022-08-31,0.0,60312,"['2018-08-07', '2020-10-15', '2023-02-07']"
362,26.66598843,-82.19368883,S2C_MSIL2A_20250206T160501_R097_T17RLK_20250206T192610,2025-02-06,0.0,61236,"['2018-08-07', '2020-10-15', '2023-02-07']"
362,26.66598843,-82.19368883,S2A_MSIL2A_20170817T155901_R097_T17RLK_20210201T031945,2017-08-17,0.0,60180,"['2018-08-07', '2020-10-15', '2023-02-07']"
362,26.66598843,-82.19368883,S2A_MSIL2A_20210128T160521_R097_T17RLK_20210129T081603,2021-01-28,0.01,60280,"['2018-08-07', '2020-10-15', '2023-02-07']"
363,26.68909765,-82.1939295,S2B_MSIL2A_20181205T160639_R097_T17RLK_20201008T074221,2018-12-05,0.0,60104,"['2018-08-07', '2019-11-10']"
363,26.68909765,-82.1939295,S2B_MSIL2A_20200905T155829_R097_T17RLK_20201027T145935,2020-09-05,0.0,60020,"['2018-08-07', '2019-11-10']"
363,26.68909765,-82.1939295,S2A_MSIL2A_20170926T160021_R097_T17RLK_20210202T100817,2017-09-26,0.0,60012,"['2018-08-07', '2019-11-10']"
363,26.68909765,-82.1939295,S2B_MSIL2A_20190325T155909_R097_T17RLK_20201007T104120,2019-03-25,0.0,60160,"['2018-08-07', '2019-11-10']"
363,26.68909765,-82.1939295,S2A_MSIL2A_20251215T160711_R097_T17RLK_20251215T193112,2025-12-15,0.22,60824,"['2018-08-07', '2019-11-10']"
368,25.93538605,-81.74280398,S2B_MSIL2A_20241213T160559_R097_T17RMJ_20241213T200052,2024-12-13,0.0,50908,['2019-10-11']
368,25.93538605,-81.74280398,S2C_MSIL2A_20251123T160611_R097_T17RMJ_20251123T194016,2025-11-23,0.24,50648,['2019-10-11']
368,25.93538605,-81.74280398,S2C_MSIL2A_20250308T160141_R097_T17RMJ_20250308T210216,2025-03-08,0.27,50760,['2019-10-11']
368,25.93538605,-81.74280398,S2B_MSIL2A_20260328T155859_R097_T17RMJ_20260328T200110,2026-03-28,1.02,50056,['2019-10-11']
368,25.93538605,-81.74280398,S2B_MSIL2A_20230702T155829_R097_T17RMJ_20230702T233421,2023-07-02,5.02,47312,['2019-10-11']
369,25.88928506,-81.71696029,S2B_MSIL2A_20221025T160339_R097_T17RMJ_20240724T153558,2022-10-25,0.0,60100,['2019-10-11']
369,25.88928506,-81.71696029,S2A_MSIL2A_20221219T160701_R097_T17RMJ_20221220T130546,2022-12-19,0.07,60160,['2019-10-11']
369,25.88928506,-81.71696029,S2B_MSIL2A_20250919T155839_R097_T17RMJ_20250919T211656,2025-09-19,0.91,59492,['2019-10-11']
369,25.88928506,-81.71696029,S2A_MSIL2A_20160822T155902_R097_T17RMJ_20210212T165915,2016-08-22,1.87,58860,['2019-10-11']
369,25.88928506,-81.71696029,S2A_MSIL2A_20171125T160611_R097_T17RMJ_20201014T221125,2017-11-25,2.01,59296,['2019-10-11']
370,27.84509532,-82.47111125,S2A_MSIL2A_20221209T160651_R097_T17RLL_20221210T144518,2022-12-09,0.0,39448,['2021-07-12']
370,27.84509532,-82.47111125,S2A_MSIL2A_20231104T160431_R097_T17RLL_20231104T224159,2023-11-04,0.0,39056,['2021-07-12']
370,27.84509532,-82.47111125,S2A_MSIL2A_20220821T155921_R097_T17RLL_20240704T072134,2022-08-21,0.0,38840,['2021-07-12']
370,27.84509532,-82.47111125,S2A_MSIL2A_20240502T155901_R097_T17RLL_20240503T001348,2024-05-02,0.0,38720,['2021-07-12']
370,27.84509532,-82.47111125,S2A_MSIL2A_20170509T155911_R097_T17RLL_20210209T141900,2017-05-09,0.16,38488,['2021-07-12']
371,27.82199253,-82.47079967,S2C_MSIL2A_20251113T160531_R097_T17RLL_20251113T194111,2025-11-13,0.0,51060,['2021-07-12']
371,27.82199253,-82.47079967,S2A_MSIL2A_20220821T155921_R097_T17RLL_20240704T072134,2022-08-21,0.0,50620,['2021-07-12']
371,27.82199253,-82.47079967,S2B_MSIL2A_20221025T160339_R097_T17RLL_20240724T153558,2022-10-25,0.0,50764,['2021-07-12']
371,27.82199253,-82.47079967,S2B_MSIL2A_20181205T160639_R097_T17RLL_20201008T074224,2018-12-05,0.02,50748,['2021-07-12']
371,27.82199253,-82.47079967,S2A_MSIL2A_20190529T155911_R097_T17RLL_20201006T194437,2019-05-29,0.06,50364,['2021-07-12']
374,27.83294213,-82.53699537,S2B_MSIL2A_20220329T155819_R097_T17RLL_20220330T040452,2022-03-29,0.0,51240,['2021-07-12']
374,27.83294213,-82.53699537,S2B_MSIL2A_20220816T155829_R097_T17RLL_20220817T065353,2022-08-16,0.0,50596,['2021-07-12']
