ID,center_lat,center_lon,sat_item,date,local_cloud_cover,water_pixels,original_dates_list
820,28.09624529,-82.79356317,S2B_MSIL2A_20240527T155819_R097_T17RLM_20240527T223547,2024-05-27,0.0,63628,['2019-02-11']
820,28.09624529,-82.79356317,S2B_MSIL2A_20260206T160339_R097_T17RLM_20260206T213114,2026-02-06,0.06,63836,['2019-02-11']
820,28.09624529,-82.79356317,S2B_MSIL2A_20180509T155859_R097_T17RLM_20201012T075530,2018-05-09,0.12,63616,['2019-02-11']
820,28.09624529,-82.79356317,S2B_MSIL2A_20190424T155829_R097_T17RLM_20201109T114105,2019-04-24,0.16,63688,['2019-02-11']
820,28.09624529,-82.79356317,S2B_MSIL2A_20231219T160659_R097_T17RLM_20231222T000941,2023-12-19,0.42,63480,['2019-02-11']
821,28.11934344,-82.79394752,S2C_MSIL2A_20250517T155841_R097_T17RLM_20250517T224313,2025-05-17,0.0,64084,['2019-02-11']
821,28.11934344,-82.79394752,S2B_MSIL2A_20220220T161209_R140_T17RLM_20220226T045759,2022-02-20,0.04,64212,['2019-02-11']
821,28.11934344,-82.79394752,S2B_MSIL2A_20191130T160619_R097_T17RLM_20201003T211036,2019-11-30,0.07,63944,['2019-02-11']
821,28.11934344,-82.79394752,S2B_MSIL2A_20171213T161649_R140_T17RLM_20201014T135559,2017-12-13,0.12,64196,['2019-02-11']
821,28.11934344,-82.79394752,S2A_MSIL2A_20211117T161541_R140_T17RLM_20211118T051910,2021-11-17,0.21,64192,['2019-02-11']
822,28.14244151,-82.79433233,S2B_MSIL2A_20180509T155859_R097_T17RLM_20201012T075530,2018-05-09,0.7,53292,['2019-02-11']
822,28.14244151,-82.79433233,S2B_MSIL2A_20200617T155829_R097_T17RLM_20200823T032742,2020-06-17,0.73,53172,['2019-02-11']
822,28.14244151,-82.79433233,S2A_MSIL2A_20230108T160641_R097_T17RLM_20240812T081749,2023-01-08,0.88,53032,['2019-02-11']
822,28.14244151,-82.79433233,S2B_MSIL2A_20260110T161539_R140_T17RLM_20260110T200904,2026-01-10,0.89,53116,['2019-02-11']
822,28.14244151,-82.79433233,S2A_MSIL2A_20170208T160411_R097_T17RLM_20210208T085635,2017-02-08,0.95,53316,['2019-02-11']
846,27.51477,-82.68395,S2C_MSIL2A_20251113T160531_R097_T17RLL_20251113T194111,2025-11-13,0.07,52048,['2021-11-09']
846,27.51477,-82.68395,S2C_MSIL2A_20250815T155921_R097_T17RLL_20250815T205115,2025-08-15,0.07,51668,['2021-11-09']
846,27.51477,-82.68395,S2A_MSIL2A_20201209T160641_R097_T17RLL_20201210T203640,2020-12-09,0.65,51636,['2021-11-09']
846,27.51477,-82.68395,S2A_MSIL2A_20171125T160611_R097_T17RLL_20201014T221122,2017-11-25,0.84,51664,['2021-11-09']
846,27.51477,-82.68395,S2A_MSIL2A_20161021T160402_R097_T17RLL_20210213T130416,2016-10-21,0.87,51604,['2021-11-09']
847,27.53787144,-82.68430212,S2A_MSIL2A_20221129T160621_R097_T17RLL_20221201T181701,2022-11-29,0.0,66256,['2021-11-09']
847,27.53787144,-82.68430212,S2B_MSIL2A_20220707T155829_R097_T17RLL_20220708T114640,2022-07-07,0.0,66564,['2021-11-09']
847,27.53787144,-82.68430212,S2A_MSIL2A_20170926T160021_R097_T17RLL_20210202T100821,2017-09-26,0.0,66564,['2021-11-09']
847,27.53787144,-82.68430212,S2B_MSIL2A_20190325T155909_R097_T17RLL_20201007T104123,2019-03-25,0.0,66564,['2021-11-09']
847,27.53787144,-82.68430212,S2A_MSIL2A_20230915T155901_R097_T17RLL_20241103T091138,2023-09-15,0.0,66564,['2021-11-09']
848,27.53818309,-82.65838616,S2B_MSIL2A_20220329T155819_R097_T17RLL_20220330T040452,2022-03-29,0.0,66360,['2021-11-09']
848,27.53818309,-82.65838616,S2B_MSIL2A_20191130T160619_R097_T17RLL_20201003T211037,2019-11-30,0.02,66336,['2021-11-09']
848,27.53818309,-82.65838616,S2A_MSIL2A_20170509T155911_R097_T17RLL_20210209T141900,2017-05-09,0.02,66356,['2021-11-09']
848,27.53818309,-82.65838616,S2B_MSIL2A_20181205T160639_R097_T17RLL_20201008T074224,2018-12-05,0.02,66340,['2021-11-09']
848,27.53818309,-82.65838616,S2A_MSIL2A_20190926T160021_R097_T17RLL_20201004T171728,2019-09-26,0.02,66332,['2021-11-09']
896,30.45078559,-86.51384831,S2B_MSIL2A_20250905T161829_R040_T16REU_20250905T202408,2025-09-05,0.02,51988,['2023-07-18']
896,30.45078559,-86.51384831,S2A_MSIL2A_20220916T161921_R040_T16REU_20240731T105808,2022-09-16,0.08,51976,['2023-07-18']
896,30.45078559,-86.51384831,S2B_MSIL2A_20190917T161909_R040_T16REU_20201004T142036,2019-09-17,0.09,51848,['2023-07-18']
896,30.45078559,-86.51384831,S2A_MSIL2A_20160719T162342_R040_T16REU_20210212T060701,2016-07-19,0.13,51448,['2023-07-18']
896,30.45078559,-86.51384831,S2A_MSIL2A_20180331T161901_R040_T16REU_20201013T170731,2018-03-31,0.14,51944,['2023-07-18']
903,29.70743167,-84.91171193,S2B_MSIL2A_20180412T160859_R140_T16RGT_20201012T213509,2018-04-12,0.0,66564,['2023-09-06']
903,29.70743167,-84.91171193,S2A_MSIL2A_20160210T162412_R040_T16RFT_20210528T045722,2016-02-10,0.0,66548,['2023-09-06']
903,29.70743167,-84.91171193,S2A_MSIL2A_20190830T160901_R140_T16RGT_20201005T064901,2019-08-30,0.0,66564,['2023-09-06']
903,29.70743167,-84.91171193,S2B_MSIL2A_20201117T161549_R140_T16RGT_20201118T212832,2020-11-17,0.0,66564,['2023-09-06']
903,29.70743167,-84.91171193,S2A_MSIL2A_20210401T160901_R140_T16RFT_20210402T154314,2021-04-01,0.0,66564,['2023-09-06']
905,30.43930073,-86.53419025,S2C_MSIL2A_20250622T161851_R040_T16REU_20250622T215416,2025-06-22,0.0,64888,['2023-09-11']
905,30.43930073,-86.53419025,S2C_MSIL2A_20251020T162331_R040_T16REU_20251020T201906,2025-10-20,0.0,64880,['2023-09-11']
905,30.43930073,-86.53419025,S2B_MSIL2A_20190917T161909_R040_T16REU_20201004T142036,2019-09-17,0.02,64844,['2023-09-11']
905,30.43930073,-86.53419025,S2A_MSIL2A_20160410T162332_R040_T16REU_20210211T030028,2016-04-10,0.03,64872,['2023-09-11']
905,30.43930073,-86.53419025,S2B_MSIL2A_20190110T162639_R040_T16REU_20201008T003019,2019-01-10,0.04,64808,['2023-09-11']
939,69.59198333,-65.35596667,S2B_MSIL2A_20200802T161829_R040_T19WFT_20200815T224412,2020-08-02,0.0,66564,['2016-08-01']
939,69.59198333,-65.35596667,S2C_MSIL2A_20250831T161921_R040_T19WFT_20250831T195215,2025-08-31,0.0,66564,['2016-08-01']
939,69.59198333,-65.35596667,S2B_MSIL2A_20241020T162219_R040_T19WFT_20241020T185038,2024-10-20,0.0,66564,['2016-08-01']
939,69.59198333,-65.35596667,S2B_MSIL2A_20210317T160919_R140_T20WMC_20210318T214500,2021-03-17,0.0,66564,['2016-08-01']
939,69.59198333,-65.35596667,S2C_MSIL2A_20250406T162921_R083_T19WFT_20250406T212117,2025-04-06,0.0,66564,['2016-08-01']
